station,pollutant,annual_mean,annual_median,annual_p95,annual_max,n_hours,autumn_mean,spring_mean,summer_mean,winter_mean
Alphington,CO,0.2,0.14,0.58,1.55,7708,0.24,0.16,0.12,0.27
Alphington,NO2,8.3,6.39,21.83,44.08,7719,9.82,7.06,4.93,10.76
Alphington,O3,16.02,16.31,33.68,64.87,7731,12.14,21.94,17.74,13.67
Alphington,PM10,18.36,16.27,38.26,136.76,8587,20.41,18.01,20.0,14.97
Alphington,PM2.5,7.93,6.18,21.39,113.06,7729,10.05,6.21,6.66,8.27
Alphington,SO2,0.19,0.19,1.0,3.74,7723,0.14,0.18,0.02,0.4
Altona North,NO2,8.36,5.24,25.54,40.76,5122,8.2,,4.6,11.54
Altona North,SO2,0.16,0.16,1.34,6.65,7576,0.13,0.07,0.08,0.35
Box Hill,PM2.5,6.35,5.29,16.06,56.81,6437,8.34,5.5,5.14,6.38
Brighton,PM2.5,8.05,6.84,19.5,154.54,8578,9.37,7.65,7.24,7.95
Brooklyn,PM10,23.78,18.96,58.95,209.37,7735,25.58,22.08,25.6,22.44
Dandenong,NO2,9.85,7.54,24.31,36.84,6912,11.15,8.72,6.1,12.45
Dandenong,O3,17.49,17.65,34.05,75.98,8330,13.92,23.03,17.76,15.33
Dandenong,PM10,18.05,15.92,37.78,163.76,8609,19.8,18.65,20.05,13.58
Dandenong,PM2.5,6.39,5.36,16.49,77.2,8609,7.84,5.69,6.0,6.0
Geelong South,CO,0.13,0.12,0.22,0.86,3872,0.11,0.14,0.11,
Geelong South,NO2,5.98,3.48,20.23,70.59,6193,6.1,4.36,3.31,10.63
Geelong South,O3,18.57,18.49,32.57,67.98,7697,15.81,23.75,17.01,16.92
Geelong South,PM10,24.01,18.88,57.04,730.93,8337,23.61,20.77,28.2,23.57
Geelong South,PM2.5,4.98,4.39,12.3,44.53,5902,,4.58,4.95,5.4
Geelong South,SO2,0.25,0.23,0.9,6.7,7351,0.21,0.25,0.21,0.32
Macleod,PM2.5,4.28,3.52,12.22,53.62,5128,3.42,4.02,3.95,4.66
Melbourne CBD,PM2.5,8.47,7.21,19.01,113.01,8506,10.39,7.73,7.99,7.97
Melton,O3,19.67,20.21,34.95,62.74,8202,16.35,24.89,18.99,18.55
Melton,PM2.5,5.07,4.14,15.18,112.72,8449,6.15,4.41,5.32,4.35
Mooroolbark,O3,19.82,19.77,36.63,71.45,5529,15.75,22.91,19.02,20.86
Mooroolbark,PM10,15.36,13.48,31.82,99.18,8476,17.99,15.02,16.5,11.84
Morwell East,CO,0.17,0.14,0.41,1.07,5848,0.16,0.14,0.1,0.23
Morwell East,SO2,0.41,0.13,1.51,70.93,7509,0.39,0.45,0.28,0.52
Morwell South,CO,0.11,0.1,0.2,0.54,5697,0.1,0.13,0.09,0.12
Morwell South,NO2,4.18,3.02,11.13,29.53,7126,4.86,3.56,2.73,5.87
Morwell South,O3,16.92,16.64,31.79,50.85,7037,15.05,24.19,14.8,13.92
Morwell South,SO2,0.55,0.23,1.92,43.88,6205,0.32,0.67,0.58,0.54
Point Cook,O3,19.54,19.51,33.43,84.53,8341,17.02,24.35,18.54,18.31
Traralgon,CO,0.16,0.12,0.42,2.18,7129,0.16,0.17,0.1,0.26
Traralgon,NO2,4.33,3.46,10.66,25.92,5355,5.5,4.35,3.47,4.86
Traralgon,O3,15.64,15.83,30.53,52.15,8349,13.27,21.22,15.77,12.37
Traralgon,PM10,15.67,14.33,31.08,95.77,8605,16.22,15.0,17.59,13.91
Traralgon,PM2.5,7.6,6.51,18.51,109.24,8662,8.14,6.47,6.35,9.36
Traralgon,SO2,0.59,0.36,2.42,44.85,8324,0.66,0.52,0.42,0.76
